user_id,username,password,first_name,last_name,first_name_eng,last_name_eng,gender,DOB,faculty,department,field,student_type,education_level,workplace,company,job,admit_year,graduate_year,gpax,email,role,user_interaction,github,profile_picture,company_internship,internship,job_internship,linkedin,facebook,phone
329537,ratpruek.buaphuean@gmail.com,b'$2b$12$PFtTGPv4.Dev7r461OkyBeiq2y8LyDZKX6oV/hHxhbelLqDnuFH5a',ราชพฤกษ์,บัวเผื่อน,ratpruek,buaphuean,M,2538-05-17,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาโท 2 ปี นานาชาติ,ปริญญาโท,"535/96 ถนนพรมอ่อน, บริษัท ทองปากน้ำมอเตอร์ จำกัด",บริษัท ทองปากน้ำมอเตอร์ จำกัด,Cloud Architect,2557,2559,2.42,ratpruek.buaphuean@bnitat.gov.br,alumni,Low,,,,,,,,
652805,smtai.thawrawon@gmail.com,b'$2b$12$oedy9xZF1aQP.PUFfhrU6eHEPHP.reUEauaohhWGobjb9de3Dv2x6',สมใจ,ถาวระวรณ์,smtai,thawrawon,F,2530-06-27,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาโท 2 ปี นานาชาติ,ปริญญาโท,"244/27 ถ.ธรรมนิยม, ห้างหุ้นส่วนจำกัด ถนัดกลึง",ห้างหุ้นส่วนจำกัด ถนัดกลึง,Cloud Architect,2550,2552,1.81,smtai.thawrawon@anguntuantamkat.net,alumni,Low,,,,,,,,
184352,pnmin.namkham@gmail.com,b'$2b$12$ygO.LQsQexWeP3X5ryuqPO.TELoNW4t.EO2xdyx9tK5ZrLvdj9sw2',ปรมินทร์,นามขำ,pnmin,namkham,M,2515-02-10,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี,ปริญญาตรี,"883/63 ถ.บุญบำรุง, บริษัท นำธวัชและเพื่อน จำกัด",บริษัท นำธวัชและเพื่อน จำกัด,Cloud Architect,2531,2534,2.83,pnmin.namkham@bnitat.gov.br,alumni,Low,,,,,,,,
838213,sunkan.bunsong@gmail.com,b'$2b$12$g67XafhBjhu1/7J.sOd/YeKliE3cqKNwDLZhkjI.rryoyl9LnN.Ge',สุรการณ์,บุญส่ง,sunkan,bunsong,F,2536-08-02,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),ปริญญาตรี,"02/05 ถ.ศาสตร์ศิลป์, สหภาพแรงงานพานเกล้า",สหภาพแรงงานพานเกล้า,นักชีววิทยา,2552,2555,3.13,sunkan.bunsong@spapnaengnganphankena.net,alumni,Low,,,,,,,,
503297,nisra.nruethuk@gmail.com,b'$2b$12$ywGaT./J2m5yO63Xf5DPjeAqRofDzQX8yhzuu/zDCMomNfF5XFM.O',อริสรา,นฤทุกข์,nisra,nruethuk,F,2524-09-20,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),ปริญญาตรี,"35/43 ถนนนะวะมันดร, บริษัท ทรัพย์สารเทรดดิ้ง จำกัด",บริษัท ทรัพย์สารเทรดดิ้ง จำกัด,DevOps Engineer,2544,2547,2.03,nisra.nruethuk@bnitat.net.br,alumni,Low,,,,,,,,
969844,thirisra.bunyalai@gmail.com,b'$2b$12$mb2bkqDRuV8xsSAWI2uq6eDFK2NxXWTNodBShEJ3Ri2zwb9bCWMxK',ธีริสรา,บุญญาไลย์,thirisra,bunyalai,F,2512-01-21,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี,ปริญญาตรี,"2 ถ.พรสีมา, หจก.ทองสุกเลิศบริการ",หจก.ทองสุกเลิศบริการ,นายแบบ,2532,2536,2.15,thirisra.bunyalai@chk.thongsukloetbnikan.net,alumni,Low,thirisra.bunyalai@github.com,,,,,,,
350156,ninant.thongnueadi@gmail.com,b'$2b$12$MvTRzp2qKqvgKjxN2btP2eLJIiY9LEp566fNaRifrKaVfGf6GpBzy',นิรันดร์,ทองเนื้อดี,ninant,thongnueadi,M,2513-06-10,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี,ปริญญาตรี,"199/1 ถนนภูภักดี, บริษัท นพคเชนทร์ จำกัด",บริษัท นพคเชนทร์ จำกัด,พิธีกร,2533,2537,2.35,ninant.thongnueadi@bnitat.com.br,alumni,Low,,,,,,,,
141277,witian.thnatattkam@gmail.com,b'$2b$12$VkIr1zrky/eND1Tg3ew3xuF4RpPKCuyxkR2vHVYsVj5syct5H2VkO',วิเชียร,ถนัดหัตถกรรม,witian,thnatattkam,F,2514-09-22,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมไฟฟ้าและคอมพิวเตอร์,ปริญญาเอก นานาชาติ,ปริญญาเอก,"0/8 ซ.พรรษาสกุล, ชมรมสันตะวงศ์",ชมรมสันตะวงศ์,Mobile App Developer,2534,2534,3.11,witian.thnatattkam@chmnmsantawong.org,alumni,Low,,,,,,,,
132273,nariman.thatnsutti@gmail.com,b'$2b$12$ZDvAgfSIgFIVr62NSyyquur/pgZo52HtnBMiMjdsaIYk.NzuUyuEK',ณาร์รีมาน,ทัศนสุทธิ,nariman,thatnsutti,F,2515-05-10,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (โครงการจากพื้นที่การศึกษาราชบุรี),ปริญญาตรี,"18/25 ถนนฉิมพาลี, ห้างหุ้นส่วนจำกัด ตั้งกุลงาม",ห้างหุ้นส่วนจำกัด ตั้งกุลงาม,Mobile App Developer,2535,2538,2.58,nariman.thatnsutti@anguntuantamkat.net.br,alumni,Low,,,,,,,,
415271,pphaorin.nispnapan@gmail.com,b'$2b$12$u81ZcYXRpQTXZneYRAkPfeZIdZumnSwYvYl0Uo70gBeV28bao/Nay',ปภาวรินทร์,นิษประปัญจ์,pphaorin,nispnapan,F,2516-10-29,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาโท 2 ปี นานาชาติ,ปริญญาโท,"13/6 ถนนไทยสุชาต, บริษัท ธนรักษ์ จำกัด",บริษัท ธนรักษ์ จำกัด,AI Researcher,2533,2535,3.32,pphaorin.nispnapan@bnitat.gov,alumni,Low,,,,,,,,
